Date,Time,,Temp,Weather,Wind,,Humidity,Barometer,Visibility
2020-01-01,"00:00 Wed, 1 Jan",,20 °C,Partly cloudy.,35 km/h,↑,73%,1014 mbar,N/A
2020-01-01,00:30,,20 °C,Partly cloudy.,30 km/h,↑,73%,1013 mbar,N/A
2020-01-01,01:00,,20 °C,Partly cloudy.,26 km/h,↑,78%,1013 mbar,N/A
2020-01-01,01:30,,19 °C,Partly cloudy.,28 km/h,↑,78%,1013 mbar,N/A
2020-01-01,02:00,,20 °C,Passing clouds.,28 km/h,↑,78%,1013 mbar,N/A
2020-01-01,02:30,,19 °C,Passing clouds.,30 km/h,↑,78%,1012 mbar,N/A
2020-01-01,03:00,,19 °C,Passing clouds.,28 km/h,↑,78%,1012 mbar,N/A
2020-01-01,03:30,,19 °C,Passing clouds.,28 km/h,↑,73%,1012 mbar,N/A
2020-01-01,04:00,,20 °C,Passing clouds.,28 km/h,↑,73%,1012 mbar,N/A
2020-01-01,04:30,,20 °C,Passing clouds.,28 km/h,↑,73%,1012 mbar,N/A
2020-01-01,05:00,,20 °C,Passing clouds.,26 km/h,↑,69%,1012 mbar,N/A
2020-01-01,05:30,,20 °C,Passing clouds.,28 km/h,↑,73%,1013 mbar,N/A
2020-01-01,06:00,,19 °C,Partly sunny.,28 km/h,↑,73%,1013 mbar,N/A
2020-01-01,06:30,,20 °C,Broken clouds.,26 km/h,↑,69%,1013 mbar,N/A
2020-01-01,07:00,,20 °C,Broken clouds.,24 km/h,↑,69%,1014 mbar,N/A
2020-01-01,07:30,,20 °C,Broken clouds.,20 km/h,↑,69%,1014 mbar,N/A
2020-01-01,08:00,,20 °C,Partly sunny.,22 km/h,↑,69%,1014 mbar,N/A
2020-01-01,08:30,,21 °C,Partly sunny.,19 km/h,↑,69%,1014 mbar,N/A
2020-01-01,09:00,,20 °C,Partly sunny.,17 km/h,↑,73%,1015 mbar,N/A
2020-01-01,09:30,,21 °C,Partly sunny.,17 km/h,↑,69%,1014 mbar,9 km
2020-01-01,10:00,,21 °C,Partly sunny.,19 km/h,↑,69%,1014 mbar,N/A
2020-01-01,10:30,,21 °C,Partly sunny.,20 km/h,↑,69%,1014 mbar,9 km
2020-01-01,11:00,,22 °C,Partly sunny.,19 km/h,↑,65%,1014 mbar,7 km
2020-01-01,12:00,,22 °C,Scattered clouds.,20 km/h,↑,65%,1014 mbar,6 km
2020-01-01,12:30,,23 °C,Scattered clouds.,19 km/h,↑,65%,1013 mbar,6 km
2020-01-01,13:00,,24 °C,Scattered clouds.,24 km/h,↑,57%,1013 mbar,6 km
2020-01-01,13:30,,25 °C,Scattered clouds.,26 km/h,↑,61%,1013 mbar,6 km
2020-01-01,14:00,,25 °C,Scattered clouds.,24 km/h,↑,61%,1013 mbar,6 km
2020-01-01,14:30,,26 °C,Partly sunny.,28 km/h,↑,58%,1013 mbar,8 km
2020-01-01,15:00,,24 °C,Broken clouds.,28 km/h,↑,61%,1013 mbar,N/A
2020-01-01,15:30,,24 °C,Broken clouds.,30 km/h,↑,65%,1013 mbar,N/A
2020-01-01,16:00,,24 °C,Partly sunny.,28 km/h,↑,65%,1013 mbar,N/A
2020-01-01,16:30,,25 °C,Partly sunny.,26 km/h,↑,65%,1013 mbar,N/A
2020-01-01,17:00,,23 °C,Partly sunny.,28 km/h,↑,69%,1013 mbar,N/A
2020-01-01,17:30,,23 °C,Broken clouds.,26 km/h,↑,69%,1013 mbar,N/A
2020-01-01,18:00,,23 °C,Broken clouds.,22 km/h,↑,74%,1014 mbar,N/A
2020-01-01,18:30,,23 °C,Broken clouds.,24 km/h,↑,74%,1014 mbar,N/A
2020-01-01,19:00,,23 °C,Broken clouds.,20 km/h,↑,78%,1015 mbar,N/A
2020-01-01,19:30,,23 °C,Broken clouds.,22 km/h,↑,78%,1015 mbar,N/A
2020-01-01,20:00,,22 °C,Broken clouds.,19 km/h,↑,78%,1016 mbar,N/A
2020-01-01,20:30,,22 °C,Partly cloudy.,20 km/h,↑,78%,1017 mbar,N/A
2020-01-01,21:00,,22 °C,Partly cloudy.,22 km/h,↑,83%,1017 mbar,N/A
2020-01-01,21:30,,21 °C,Partly cloudy.,24 km/h,↑,88%,1017 mbar,N/A
2020-01-01,22:00,,22 °C,Partly cloudy.,28 km/h,↑,83%,1018 mbar,N/A
2020-01-01,22:30,,21 °C,Partly cloudy.,28 km/h,↑,83%,1018 mbar,N/A
2020-01-01,23:00,,21 °C,Partly cloudy.,32 km/h,↑,83%,1018 mbar,N/A
2020-01-01,23:30,,21 °C,Partly cloudy.,32 km/h,↑,83%,1018 mbar,N/A
2020-01-02,"00:00 Thu, 2 Jan",,20 °C,Passing clouds.,32 km/h,↑,88%,1018 mbar,N/A
2020-01-02,00:30,,20 °C,Passing clouds.,30 km/h,↑,88%,1018 mbar,8 km
2020-01-02,01:00,,20 °C,Passing clouds.,32 km/h,↑,88%,1018 mbar,N/A
2020-01-02,01:30,,20 °C,Passing clouds.,28 km/h,↑,88%,1018 mbar,N/A
2020-01-02,02:00,,21 °C,Passing clouds.,28 km/h,↑,78%,1018 mbar,N/A
